"ASUSTek Computer","H170M-E D3","NCT6793D"
"ASUSTek Computer","H170M-PLUS-BR","NCT6793D"
"ASUSTek Computer","H170M-PLUS","NCT6793D"
"ASUSTek Computer","H170-PLUS D3","NCT5539D"
"ASUSTek Computer","H170 PRO GAMING","NCT6793D"
"ASUSTek Computer","H170-PRO","NCT5539D"
"ASUSTek Computer","H170-PRO-USB","NCT5539D"
"ASUSTek Computer","H61M-A-BR","NCT5535D"
"ASUSTek Computer","H61M-A","NCT5535D"
"ASUSTek Computer","H61M-A-USB3","NCT5535D"
"ASUSTek Computer","H61M-C","NCT5535D"
"ASUSTek Computer","H61M-CS","NCT5535D"
"ASUSTek Computer","H61M-D","NCT5535D"
"ASUSTek Computer","H61M-E","IT8603E"
"ASUSTek Computer","H61M-F","NCT5535D"
"ASUSTek Computer","H61M-K","NCT5535D"
"ASUSTek Computer","H61M-PLUS","NCT5535D"
"ASUSTek Computer","H61M-PRO","NCT5535D"
"ASUSTek Computer","K30AD/M31AD/M51AD","NCT5538D"
"ASUSTek Computer","K5130","NCT5535D"
"ASUSTek Computer","Komplett PC","NCT6798D"
"ASUSTek Computer","M11AD","NCT5538D"
"ASUSTek Computer","M51AC","NCT5538D"
"ASUSTek Computer","M52AD/M12AD/A/F/K31AD","NCT5538D"
"ASUSTek Computer","M5A78L-M LE-USB3","IT8771E"
"ASUSTek Computer","M5A78L-M PLUS-USB3","IT8728F"
"ASUSTek Computer","M5A97 PLUS","IT8721"
"ASUSTek Computer","M70AD","NCT5538D"
"ASUSTek Computer","Maximus IV Extreme","NCT6776F"
"ASUSTek Computer","Maximus IV Extreme-Z","NCT6776F"
"ASUSTek Computer","Maximus IV GENE-Z-GEN3","NCT6776F"
"ASUSTek Computer","Maximus IV GENE-Z","NCT6776F"
"ASUSTek Computer","Maximus IX CODE","NCT6793D"
"ASUSTek Computer","Maximus IX FORMULA","NCT6793D"
"ASUSTek Computer","Maximus IX HERO","NCT6793D"
"ASUSTek Computer","MAXIMUS VII HERO","NCT6791D"
"ASUSTek Computer","Maximus VIII EXTREME","NCT6793D"
"ASUSTek Computer","Maximus VIII FORMULA","NCT6793D"
"ASUSTek Computer","Maximus VIII GENE","NCT6793D"
